sale_id,sale_date,product_id,customer_id,quantity,unit_price,total_price,store,channel
42,2025-07-29,SKU-1292,357,1,1649,1649,Online,Online
43,2024-02-21,SKU-1255,343,1,949,949,Boston Boylston,Online
44,2024-12-04,SKU-1058,368,1,1499,1499,Los Angeles Grove,In-Store
45,2024-06-10,SKU-1034,209,2,1299,2598,San Francisco Union Square,In-Store
46,2024-10-21,SKU-1131,165,1,1899,1899,Online,Online
47,2024-08-25,SKU-1267,274,1,1149,1149,Austin Domain,In-Store
48,2025-03-03,SKU-1009,452,2,999,1998,Miami Dadeland,In-Store
49,2025-05-22,SKU-1009,96,1,999,999,Dallas NorthPark,In-Store
50,2024-01-10,SKU-1332,153,2,629,1258,Chicago Michigan Ave,Online
51,2025-10-18,SKU-1355,279,1,249,249,Chicago Michigan Ave,In-Store
52,2024-10-06,SKU-1033,99,1,1299,1299,Miami Dadeland,Online
53,2024-07-09,SKU-1251,8,1,849,849,Austin Domain,In-Store
54,2024-06-28,SKU-1184,313,1,649,649,Miami Dadeland,In-Store
55,2024-03-29,SKU-1291,206,1,1499,1499,Seattle University Village,Online
56,2024-09-11,SKU-1035,4,1,1299,1299,Online,Online
57,2024-11-05,SKU-1261,299,2,1149,2298,Seattle University Village,Online
58,2024-03-04,SKU-1219,342,1,649,649,Online,Online
59,2025-12-21,SKU-1101,395,1,799,799,Online,Online
60,2025-09-21,SKU-1328,114,1,429,429,Online,Online
61,2025-09-12,SKU-1038,192,1,1299,1299,New York 5th Ave,Online
62,2025-11-11,SKU-1128,423,1,1899,1899,Online,Online
63,2024-03-24,SKU-1261,270,2,1149,2298,New York 5th Ave,In-Store
64,2024-03-04,SKU-1019,425,1,1099,1099,Chicago Michigan Ave,Online
65,2024-12-01,SKU-1186,438,1,649,649,Los Angeles Grove,Online
66,2024-04-03,SKU-1051,461,1,1499,1499,Los Angeles Grove,In-Store
67,2025-04-12,SKU-1117,289,1,1899,1899,Online,Online
68,2025-02-09,SKU-1283,131,1,1349,1349,Miami Dadeland,In-Store
69,2024-12-18,SKU-1188,359,1,649,649,Online,In-Store
70,2025-04-28,SKU-1336,17,1,429,429,Online,Online
71,2025-10-23,SKU-1033,494,1,1299,1299,New York 5th Ave,In-Store
72,2025-01-21,SKU-1095,193,2,699,1398,Online,In-Store
73,2024-12-22,SKU-1311,61,1,1649,1649,Online,Online
74,2024-08-16,SKU-1167,428,1,349,349,Online,Online
75,2025-07-11,SKU-1074,218,1,1599,1599,Chicago Michigan Ave,In-Store
76,2024-10-09,SKU-1061,97,1,1499,1499,Dallas NorthPark,In-Store
77,2025-03-05,SKU-1028,315,1,1199,1199,Austin Domain,In-Store
78,2024-04-13,SKU-1003,305,1,999,999,Online,In-Store
79,2024-02-15,SKU-1240,206,1,899,899,New York 5th Ave,Online
80,2024-05-23,SKU-1261,258,1,1149,1149,Dallas NorthPark,Online
81,2025-08-14,SKU-1328,307,1,429,429,Austin Domain,In-Store
82,2025-11-07,SKU-1059,267,2,1499,2998,Online,Online
83,2024-06-28,SKU-1015,321,2,1099,2198,Seattle University Village,In-Store
84,2025-10-20,SKU-1011,344,1,1099,1099,Online,Online
85,2024-11-03,SKU-1237,193,1,749,749,Online,Online
86,2025-12-25,SKU-1060,74,1,1499,1499,Miami Dadeland,In-Store
87,2025-07-24,SKU-1181,272,2,499,998,Online,Online
88,2025-04-05,SKU-1050,434,1,1499,1499,Online,Online
89,2025-01-21,SKU-1292,345,1,1649,1649,San Francisco Union Square,Online
90,2025-08-24,SKU-1018,371,1,1099,1099,Seattle University Village,Online
91,2024-11-06,SKU-1052,490,2,1499,2998,Boston Boylston,Online
92,2025-05-05,SKU-1047,469,1,1399,1399,Online,In-Store
93,2025-07-19,SKU-1051,165,2,1499,2998,Austin Domain,Online
94,2024-09-24,SKU-1169,185,1,349,349,Los Angeles Grove,Online
95,2025-04-25,SKU-1024,390,3,1199,3597,Miami Dadeland,In-Store
96,2025-07-30,SKU-1092,443,1,699,699,Online,Online
97,2025-08-16,SKU-1065,369,2,1499,2998,New York 5th Ave,Online
98,2024-09-08,SKU-1082,256,1,1699,1699,Chicago Michigan Ave,In-Store
99,2025-05-15,SKU-1084,495,1,1699,1699,Seattle University Village,In-Store
100,2024-12-26,SKU-1122,87,1,1299,1299,Online,Online
101,2025-10-19,SKU-1045,491,2,1399,2798,Online,Online
102,2025-11-15,SKU-1299,25,2,1449,2898,Austin Domain,Online
103,2025-12-25,SKU-1298,78,1,1599,1599,Online,Online
104,2025-11-13,SKU-1093,479,1,699,699,San Francisco Union Square,Online
105,2025-07-18,SKU-1139,211,1,2799,2799,Online,Online
106,2024-01-18,SKU-1068,258,3,1499,4497,Miami Dadeland,In-Store
107,2024-04-19,SKU-1283,471,2,1349,2698,Online,Online
108,2024-12-28,SKU-1047,137,1,1399,1399,Austin Domain,Online
109,2024-09-06,SKU-1346,357,1,299,299,Online,In-Store
110,2025-10-27,SKU-1300,389,1,1599,1599,Online,Online
111,2025-10-14,SKU-1094,5,1,699,699,Seattle University Village,Online
112,2024-12-05,SKU-1299,290,1,1449,1449,Dallas NorthPark,In-Store
113,2024-08-23,SKU-1319,109,2,1799,3598,Boston Boylston,In-Store
114,2024-03-17,SKU-1183,351,1,499,499,Boston Boylston,In-Store
115,2024-11-18,SKU-1182,9,1,649,649,Dallas NorthPark,In-Store
116,2025-02-11,SKU-1260,476,1,1099,1099,Online,Online
117,2025-02-02,SKU-1059,347,1,1499,1499,Boston Boylston,Online
118,2025-12-06,SKU-1262,371,1,1299,1299,Online,In-Store
119,2024-08-25,SKU-1086,430,1,1699,1699,Online,In-Store
120,2024-11-30,SKU-1203,16,1,699,699,San Francisco Union Square,In-Store
121,2025-07-20,SKU-1115,482,1,1499,1499,Online,Online
122,2025-09-25,SKU-1191,152,1,599,599,Miami Dadeland,In-Store
123,2025-12-29,SKU-1020,402,1,1199,1199,San Francisco Union Square,In-Store
124,2024-01-06,SKU-1078,483,1,1599,1599,Online,Online
125,2024-07-10,SKU-1067,221,1,1499,1499,New York 5th Ave,In-Store
126,2024-12-28,SKU-1101,284,1,799,799,Online,In-Store
127,2024-10-25,SKU-1080,212,1,1699,1699,Online,Online
128,2024-09-05,SKU-1322,293,2,1949,3898,Los Angeles Grove,In-Store
129,2024-10-01,SKU-1042,253,1,1399,1399,Online,Online
130,2024-03-19,SKU-1068,185,1,1499,1499,Online,Online
131,2024-07-19,SKU-1207,235,1,549,549,Online,Online
132,2025-09-27,SKU-1342,195,1,299,299,Miami Dadeland,Online
133,2025-10-28,SKU-1083,499,1,1699,1699,San Francisco Union Square,Online
134,2025-05-05,SKU-1198,161,1,849,849,Online,Online
135,2025-10-10,SKU-1079,252,1,1599,1599,Dallas NorthPark,In-Store
136,2025-02-06,SKU-1081,187,1,1699,1699,Online,In-Store
137,2025-11-29,SKU-1194,394,1,749,749,Chicago Michigan Ave,In-Store
138,2025-03-24,SKU-1122,409,1,1299,1299,Online,In-Store
139,2025-02-22,SKU-1288,345,1,1649,1649,Los Angeles Grove,In-Store
140,2025-03-09,SKU-1060,405,1,1499,1499,Online,Online
141,2025-07-01,SKU-1196,260,1,749,749,Boston Boylston,In-Store
142,2025-01-03,SKU-1104,360,1,799,799,Boston Boylston,Online
143,2024-09-11,SKU-1213,337,1,649,649,Seattle University Village,Online
144,2025-10-22,SKU-1202,347,1,849,849,San Francisco Union Square,In-Store
145,2024-04-18,SKU-1082,6,1,1699,1699,Online,Online
146,2025-12-05,SKU-1258,295,1,1099,1099,Online,Online
147,2025-12-08,SKU-1123,257,1,1499,1499,Online,In-Store
148,2024-03-28,SKU-1136,60,1,2799,2799,Miami Dadeland,In-Store
149,2024-07-30,SKU-1086,267,1,1699,1699,Los Angeles Grove,Online
150,2024-11-22,SKU-1109,35,1,799,799,Online,In-Store
151,2025-10-25,SKU-1028,56,1,1199,1199,Seattle University Village,Online
152,2024-06-27,SKU-1355,283,1,249,249,Online,In-Store
153,2025-02-18,SKU-1346,323,1,299,299,Online,In-Store
154,2025-09-20,SKU-1107,453,1,799,799,Online,In-Store
155,2024-07-29,SKU-1096,143,1,699,699,Austin Domain,In-Store
156,2025-07-03,SKU-1015,96,1,1099,1099,Online,Online
157,2025-05-16,SKU-1028,271,1,1199,1199,Dallas NorthPark,Online
158,2024-04-26,SKU-1096,179,1,699,699,Online,Online
159,2024-10-31,SKU-1043,471,1,1399,1399,San Francisco Union Square,Online
160,2024-11-08,SKU-1033,60,1,1299,1299,Online,In-Store
161,2024-05-21,SKU-1153,295,1,999,999,Online,Online
162,2025-10-22,SKU-1212,477,1,699,699,Dallas NorthPark,In-Store
163,2024-11-18,SKU-1140,432,1,2999,2999,New York 5th Ave,Online
164,2024-05-19,SKU-1089,100,1,1699,1699,Miami Dadeland,In-Store
165,2025-12-02,SKU-1150,252,1,4899,4899,New York 5th Ave,In-Store
166,2024-02-01,SKU-1139,408,1,2799,2799,Austin Domain,Online
167,2024-06-21,SKU-1068,400,1,1499,1499,Los Angeles Grove,In-Store
168,2024-04-25,SKU-1266,294,1,1299,1299,Online,In-Store
169,2024-02-12,SKU-1290,390,1,1649,1649,Seattle University Village,Online
170,2025-10-31,SKU-1357,385,1,549,549,Online,In-Store
171,2024-03-30,SKU-1008,225,1,999,999,Boston Boylston,Online
172,2025-08-25,SKU-1285,353,1,1499,1499,Online,In-Store
173,2024-05-22,SKU-1211,402,1,549,549,Online,Online
174,2024-10-14,SKU-1014,306,1,1099,1099,Chicago Michigan Ave,Online
175,2024-09-30,SKU-1240,488,1,899,899,Miami Dadeland,In-Store
176,2025-02-25,SKU-1230,471,1,799,799,Online,Online
177,2024-05-15,SKU-1220,128,1,799,799,Online,Online
178,2025-02-06,SKU-1061,251,1,1499,1499,Online,In-Store
179,2024-03-18,SKU-1208,325,1,699,699,Austin Domain,In-Store
180,2025-12-12,SKU-1100,480,1,799,799,Boston Boylston,Online
181,2024-04-05,SKU-1139,375,1,2799,2799,Dallas NorthPark,In-Store
182,2025-07-01,SKU-1237,204,2,749,1498,Online,Online
183,2024-10-17,SKU-1052,173,1,1499,1499,Chicago Michigan Ave,Online
184,2025-11-29,SKU-1302,391,1,1699,1699,Online,Online
185,2024-05-07,SKU-1273,476,1,1249,1249,Miami Dadeland,Online
186,2024-07-26,SKU-1000,353,2,999,1998,Boston Boylston,In-Store
187,2024-10-07,SKU-1075,48,2,1599,3198,San Francisco Union Square,Online
188,2024-06-18,SKU-1092,27,2,699,1398,New York 5th Ave,Online
189,2025-11-02,SKU-1238,47,1,899,899,Seattle University Village,Online
190,2024-08-19,SKU-1132,266,1,2099,2099,Seattle University Village,Online
191,2025-03-08,SKU-1237,356,1,749,749,Online,Online
192,2024-04-14,SKU-1095,53,1,699,699,Online,In-Store
193,2024-05-16,SKU-1034,329,1,1299,1299,Dallas NorthPark,Online
194,2025-10-27,SKU-1168,85,1,499,499,New York 5th Ave,In-Store
195,2025-02-25,SKU-1209,316,1,549,549,Seattle University Village,In-Store
196,2024-05-06,SKU-1021,302,1,1199,1199,Austin Domain,Online
197,2024-09-10,SKU-1107,142,1,799,799,San Francisco Union Square,Online
198,2024-10-18,SKU-1197,399,1,699,699,Dallas NorthPark,Online
199,2024-07-29,SKU-1300,266,2,1599,3198,San Francisco Union Square,Online
200,2024-09-02,SKU-1097,254,1,699,699,Online,Online
201,2024-01-13,SKU-1213,185,1,649,649,Dallas NorthPark,Online
202,2025-01-09,SKU-1305,280,1,1549,1549,Seattle University Village,In-Store
203,2024-01-18,SKU-1344,301,1,279,279,Online,Online
204,2025-02-11,SKU-1009,260,1,999,999,Online,In-Store
205,2025-02-15,SKU-1266,43,1,1299,1299,San Francisco Union Square,Online
206,2024-03-21,SKU-1038,262,1,1299,1299,Boston Boylston,In-Store
207,2025-08-23,SKU-1038,325,1,1299,1299,Austin Domain,In-Store
208,2025-03-23,SKU-1215,374,1,649,649,Dallas NorthPark,Online
209,2024-04-28,SKU-1060,233,2,1499,2998,San Francisco Union Square,Online
210,2024-06-28,SKU-1224,62,1,899,899,Online,Online
211,2024-12-21,SKU-1002,268,1,999,999,Los Angeles Grove,In-Store
212,2024-10-02,SKU-1064,376,1,1499,1499,Boston Boylston,In-Store
213,2024-10-05,SKU-1007,269,1,999,999,Online,In-Store
214,2025-04-11,SKU-1187,262,1,499,499,Online,Online
215,2024-09-18,SKU-1183,396,1,499,499,Online,In-Store
216,2025-06-05,SKU-1248,2,1,999,999,Online,In-Store
217,2025-01-27,SKU-1060,472,1,1499,1499,Online,In-Store
218,2025-11-02,SKU-1304,215,1,1699,1699,Online,Online
219,2024-03-20,SKU-1328,293,1,429,429,Online,Online
220,2025-06-12,SKU-1322,24,1,1949,1949,Dallas NorthPark,Online
221,2024-11-14,SKU-1124,168,1,1699,1699,Online,Online
222,2024-11-07,SKU-1092,379,1,699,699,San Francisco Union Square,Online
223,2024-07-19,SKU-1193,376,1,599,599,Boston Boylston,In-Store
224,2025-02-23,SKU-1061,13,1,1499,1499,Online,Online
225,2024-12-09,SKU-1296,1,2,1599,3198,Austin Domain,Online
226,2024-07-29,SKU-1254,272,1,1099,1099,Dallas NorthPark,Online
227,2024-05-25,SKU-1347,365,3,299,897,Online,Online
228,2025-02-26,SKU-1057,359,1,1499,1499,Boston Boylston,Online
229,2025-06-01,SKU-1258,69,1,1099,1099,San Francisco Union Square,Online
230,2025-11-09,SKU-1194,494,1,749,749,Online,Online
231,2025-02-06,SKU-1301,359,2,1549,3098,Miami Dadeland,Online
232,2024-07-26,SKU-1117,70,1,1899,1899,Austin Domain,In-Store
233,2025-04-22,SKU-1038,161,1,1299,1299,New York 5th Ave,Online
234,2024-11-11,SKU-1348,238,1,279,279,Online,Online
235,2025-12-22,SKU-1039,357,1,1299,1299,San Francisco Union Square,Online
236,2025-12-29,SKU-1304,128,1,1699,1699,Dallas NorthPark,Online
237,2024-06-27,SKU-1012,16,1,1099,1099,Dallas NorthPark,In-Store
238,2024-04-06,SKU-1179,237,1,499,499,Online,In-Store
239,2024-08-15,SKU-1030,67,1,1299,1299,Online,Online
240,2024-03-27,SKU-1233,299,2,649,1298,Chicago Michigan Ave,In-Store
241,2024-07-21,SKU-1018,463,3,1099,3297,San Francisco Union Square,In-Store
242,2024-12-05,SKU-1022,63,1,1199,1199,Online,Online
243,2025-02-08,SKU-1041,255,1,1399,1399,Online,In-Store
244,2024-07-10,SKU-1043,141,1,1399,1399,Online,In-Store
245,2024-09-08,SKU-1008,332,1,999,999,Online,Online
246,2024-10-13,SKU-1176,197,1,649,649,Online,Online
247,2025-10-07,SKU-1315,411,1,1649,1649,Chicago Michigan Ave,Online
248,2025-05-06,SKU-1095,279,1,699,699,Austin Domain,Online
249,2024-10-03,SKU-1183,93,1,499,499,Online,In-Store
250,2024-10-14,SKU-1007,30,1,999,999,Miami Dadeland,Online
251,2024-08-26,SKU-1089,499,1,1699,1699,Online,Online
252,2024-02-27,SKU-1060,392,1,1499,1499,Dallas NorthPark,Online
253,2024-12-29,SKU-1299,479,1,1449,1449,Miami Dadeland,In-Store
254,2025-12-15,SKU-1043,184,1,1399,1399,Boston Boylston,Online
255,2025-07-31,SKU-1239,73,2,749,1498,Chicago Michigan Ave,Online
256,2025-05-19,SKU-1357,278,2,549,1098,Online,Online
257,2024-08-12,SKU-1022,11,1,1199,1199,Chicago Michigan Ave,Online
258,2024-05-13,SKU-1329,175,1,599,599,Seattle University Village,In-Store
259,2024-01-23,SKU-1298,76,1,1599,1599,Chicago Michigan Ave,In-Store
260,2025-01-08,SKU-1269,492,1,1249,1249,Online,In-Store
261,2024-12-10,SKU-1223,155,1,749,749,Online,In-Store
262,2025-10-16,SKU-1252,492,1,999,999,Los Angeles Grove,Online
263,2025-09-20,SKU-1241,403,1,749,749,Online,In-Store
264,2025-12-06,SKU-1286,151,1,1649,1649,Online,In-Store
265,2025-02-04,SKU-1342,436,2,299,598,Dallas NorthPark,In-Store
266,2025-09-18,SKU-1008,114,1,999,999,San Francisco Union Square,Online
267,2024-03-20,SKU-1144,122,1,3399,3399,Online,Online
268,2025-12-26,SKU-1212,344,2,699,1398,San Francisco Union Square,In-Store
269,2024-09-12,SKU-1113,355,1,1699,1699,Online,Online
270,2025-01-30,SKU-1026,225,1,1199,1199,Austin Domain,In-Store
271,2025-01-22,SKU-1315,180,1,1649,1649,Chicago Michigan Ave,Online
272,2025-10-28,SKU-1133,389,2,2299,4598,Seattle University Village,Online
273,2024-10-28,SKU-1018,11,1,1099,1099,Online,In-Store
274,2025-01-19,SKU-1018,83,1,1099,1099,Austin Domain,Online
275,2025-08-31,SKU-1321,315,1,1799,1799,Boston Boylston,In-Store
276,2025-09-13,SKU-1107,456,1,799,799,New York 5th Ave,Online
277,2025-02-23,SKU-1082,357,3,1699,5097,Chicago Michigan Ave,In-Store
278,2024-10-31,SKU-1172,122,1,499,499,Online,Online
279,2024-02-25,SKU-1176,185,1,649,649,Online,Online
280,2025-05-06,SKU-1290,103,1,1649,1649,Online,Online
281,2025-04-29,SKU-1213,433,3,649,1947,Online,In-Store
282,2024-09-28,SKU-1128,47,2,1899,3798,San Francisco Union Square,Online
283,2024-07-10,SKU-1092,229,1,699,699,Online,Online
284,2025-07-31,SKU-1065,32,1,1499,1499,Online,In-Store
285,2025-07-08,SKU-1024,212,1,1199,1199,Dallas NorthPark,In-Store
286,2025-06-19,SKU-1178,215,1,649,649,Dallas NorthPark,In-Store
287,2024-08-29,SKU-1337,244,1,599,599,Online,Online
288,2025-08-07,SKU-1302,462,1,1699,1699,Los Angeles Grove,In-Store
289,2025-04-04,SKU-1355,89,1,249,249,Dallas NorthPark,Online
290,2024-02-13,SKU-1052,217,1,1499,1499,Online,In-Store
291,2024-05-31,SKU-1050,428,1,1499,1499,San Francisco Union Square,Online
292,2024-03-30,SKU-1250,199,1,999,999,Chicago Michigan Ave,In-Store
293,2024-01-13,SKU-1304,403,1,1699,1699,Seattle University Village,In-Store
294,2024-06-02,SKU-1272,76,1,1399,1399,Chicago Michigan Ave,In-Store
295,2024-04-18,SKU-1349,289,1,799,799,Austin Domain,In-Store
296,2025-02-24,SKU-1308,136,2,1699,3398,Online,Online
297,2024-10-09,SKU-1201,207,1,699,699,Online,In-Store
298,2024-12-05,SKU-1236,354,1,799,799,Online,In-Store
299,2024-01-21,SKU-1330,173,2,649,1298,Miami Dadeland,Online
300,2025-12-13,SKU-1069,351,1,1499,1499,Online,In-Store
301,2025-03-29,SKU-1033,397,3,1299,3897,Miami Dadeland,Online
302,2024-07-11,SKU-1103,227,1,799,799,Online,In-Store
303,2025-01-17,SKU-1255,421,1,949,949,Online,In-Store
304,2025-02-17,SKU-1016,70,1,1099,1099,Austin Domain,Online
305,2024-07-24,SKU-1184,429,1,649,649,Online,Online
306,2024-07-22,SKU-1012,141,1,1099,1099,Online,Online
307,2025-11-28,SKU-1098,16,2,699,1398,Online,Online
308,2025-04-30,SKU-1113,301,2,1699,3398,Chicago Michigan Ave,Online
309,2025-12-06,SKU-1296,47,1,1599,1599,Online,Online
310,2024-08-07,SKU-1040,439,1,1399,1399,Online,Online
311,2025-06-09,SKU-1051,11,1,1499,1499,Boston Boylston,In-Store
312,2024-05-15,SKU-1231,332,1,649,649,Online,In-Store
313,2024-11-08,SKU-1055,365,1,1499,1499,Dallas NorthPark,In-Store
314,2024-12-23,SKU-1105,236,1,799,799,Online,Online
315,2025-02-10,SKU-1229,300,1,649,649,Online,Online
316,2025-01-18,SKU-1223,288,1,749,749,San Francisco Union Square,In-Store
317,2024-03-06,SKU-1074,173,1,1599,1599,Dallas NorthPark,In-Store
318,2025-12-29,SKU-1306,488,1,1699,1699,Boston Boylston,Online
319,2024-02-28,SKU-1037,413,1,1299,1299,Miami Dadeland,In-Store
320,2024-05-23,SKU-1100,370,1,799,799,Online,Online
321,2025-02-18,SKU-1073,199,2,1599,3198,Austin Domain,In-Store
322,2024-12-17,SKU-1359,372,1,549,549,Seattle University Village,In-Store
323,2025-11-18,SKU-1213,184,1,649,649,Los Angeles Grove,In-Store
324,2024-07-04,SKU-1297,151,2,1449,2898,Online,Online
325,2024-07-06,SKU-1064,485,1,1499,1499,Seattle University Village,Online
326,2024-11-10,SKU-1022,216,1,1199,1199,Austin Domain,Online
327,2024-04-30,SKU-1064,241,1,1499,1499,Online,In-Store
328,2025-04-28,SKU-1189,456,1,599,599,Online,Online
329,2025-02-27,SKU-1230,28,1,799,799,Boston Boylston,Online
330,2025-08-06,SKU-1358,458,1,549,549,Boston Boylston,Online
331,2024-03-23,SKU-1078,250,1,1599,1599,Online,In-Store
332,2025-04-07,SKU-1078,141,1,1599,1599,Online,In-Store
333,2024-03-31,SKU-1187,67,1,499,499,San Francisco Union Square,In-Store
334,2025-01-27,SKU-1100,3,2,799,1598,Online,Online
335,2024-11-25,SKU-1093,388,1,699,699,Miami Dadeland,Online
336,2024-09-11,SKU-1229,116,1,649,649,Seattle University Village,Online
337,2025-08-25,SKU-1032,157,1,1299,1299,Online,In-Store
338,2025-06-16,SKU-1074,306,1,1599,1599,Los Angeles Grove,Online
339,2025-05-16,SKU-1233,184,1,649,649,Austin Domain,Online
340,2024-01-20,SKU-1324,117,1,1949,1949,Online,In-Store
341,2025-05-31,SKU-1052,87,1,1499,1499,Online,In-Store
342,2025-10-17,SKU-1277,131,1,1349,1349,Austin Domain,In-Store
343,2024-04-20,SKU-1194,335,1,749,749,Miami Dadeland,Online
344,2024-05-06,SKU-1028,281,1,1199,1199,Online,In-Store
345,2024-01-10,SKU-1051,155,1,1499,1499,New York 5th Ave,Online
346,2025-12-18,SKU-1162,71,1,5999,5999,New York 5th Ave,In-Store
347,2024-10-16,SKU-1153,59,1,999,999,Austin Domain,Online
348,2025-06-19,SKU-1201,499,1,699,699,Online,In-Store
349,2025-05-23,SKU-1073,467,1,1599,1599,Online,In-Store
350,2025-11-18,SKU-1082,46,1,1699,1699,Boston Boylston,In-Store
351,2024-04-02,SKU-1226,400,1,899,899,Los Angeles Grove,In-Store
352,2024-08-24,SKU-1025,234,1,1199,1199,Dallas NorthPark,Online
353,2024-06-27,SKU-1124,448,1,1699,1699,Online,Online
354,2024-04-28,SKU-1281,49,1,1349,1349,Miami Dadeland,In-Store
355,2025-10-24,SKU-1002,88,1,999,999,Online,In-Store
356,2024-04-05,SKU-1344,191,1,279,279,Miami Dadeland,Online
357,2024-10-05,SKU-1099,428,2,699,1398,Online,In-Store
358,2024-06-19,SKU-1280,58,1,1499,1499,Online,In-Store
359,2024-04-16,SKU-1355,214,1,249,249,Boston Boylston,Online
360,2025-09-17,SKU-1184,195,1,649,649,Austin Domain,In-Store
361,2024-05-13,SKU-1306,248,2,1699,3398,Boston Boylston,Online
362,2024-09-24,SKU-1102,336,1,799,799,Online,In-Store
363,2025-08-13,SKU-1229,371,1,649,649,Chicago Michigan Ave,In-Store
364,2025-06-19,SKU-1226,353,1,899,899,Seattle University Village,Online
365,2024-12-20,SKU-1223,340,1,749,749,Seattle University Village,Online
366,2025-09-19,SKU-1296,28,1,1599,1599,Online,In-Store
367,2025-05-22,SKU-1150,446,1,4899,4899,Online,In-Store
368,2024-10-11,SKU-1079,26,1,1599,1599,Los Angeles Grove,In-Store
369,2024-03-21,SKU-1094,236,1,699,699,New York 5th Ave,In-Store
370,2024-11-19,SKU-1021,61,1,1199,1199,Dallas NorthPark,In-Store
371,2024-02-06,SKU-1004,286,1,999,999,Chicago Michigan Ave,In-Store
372,2025-10-14,SKU-1277,156,2,1349,2698,Boston Boylston,In-Store
373,2024-12-15,SKU-1220,187,1,799,799,Miami Dadeland,In-Store
374,2025-09-26,SKU-1298,308,1,1599,1599,Los Angeles Grove,In-Store
375,2025-11-05,SKU-1245,114,1,849,849,Online,Online
376,2025-07-14,SKU-1211,268,1,549,549,Online,Online
377,2025-02-23,SKU-1320,55,1,1949,1949,Online,Online
378,2024-08-08,SKU-1030,235,2,1299,2598,Miami Dadeland,Online
379,2024-02-17,SKU-1084,475,1,1699,1699,San Francisco Union Square,In-Store
380,2025-04-13,SKU-1030,338,2,1299,2598,Chicago Michigan Ave,Online
381,2024-02-19,SKU-1348,284,1,279,279,Dallas NorthPark,In-Store
382,2024-06-30,SKU-1136,355,1,2799,2799,Chicago Michigan Ave,In-Store
383,2025-09-06,SKU-1032,311,1,1299,1299,Boston Boylston,Online
384,2025-12-10,SKU-1095,391,3,699,2097,Online,Online
385,2024-05-16,SKU-1085,71,1,1699,1699,New York 5th Ave,In-Store
386,2025-12-19,SKU-1259,281,1,949,949,Miami Dadeland,In-Store
387,2024-07-24,SKU-1336,108,1,429,429,San Francisco Union Square,Online
388,2025-12-28,SKU-1086,333,1,1699,1699,Dallas NorthPark,Online
389,2025-12-28,SKU-1173,60,1,499,499,Austin Domain,In-Store
