product_id,category,model,storage,color,variant_detail,price_usd
SKU-1316,iPad,iPad Pro 13-inch (M4),1TB,Blue,WiFi + Cellular,1799
SKU-1317,iPad,iPad Pro 13-inch (M4),2TB,Space Grey,WiFi,1799
SKU-1318,iPad,iPad Pro 13-inch (M4),2TB,Space Grey,WiFi + Cellular,1949
SKU-1319,iPad,iPad Pro 13-inch (M4),2TB,Silver,WiFi,1799
SKU-1320,iPad,iPad Pro 13-inch (M4),2TB,Silver,WiFi + Cellular,1949
SKU-1321,iPad,iPad Pro 13-inch (M4),2TB,Purple,WiFi,1799
SKU-1322,iPad,iPad Pro 13-inch (M4),2TB,Purple,WiFi + Cellular,1949
SKU-1323,iPad,iPad Pro 13-inch (M4),2TB,Blue,WiFi,1799
SKU-1324,iPad,iPad Pro 13-inch (M4),2TB,Blue,WiFi + Cellular,1949
SKU-1325,Apple Watch,Apple Watch Series 11,N/A,Aluminum,41mm / Sport Band,399
SKU-1326,Apple Watch,Apple Watch Series 11,N/A,Aluminum,41mm / Milanese Band,449
SKU-1327,Apple Watch,Apple Watch Series 11,N/A,Aluminum,41mm / Leather Band,449
SKU-1328,Apple Watch,Apple Watch Series 11,N/A,Aluminum,41mm / Trail Band,429
SKU-1329,Apple Watch,Apple Watch Series 11,N/A,Stainless Steel,41mm / Sport Band,599
SKU-1330,Apple Watch,Apple Watch Series 11,N/A,Stainless Steel,41mm / Milanese Band,649
